,lCen,"QE primary, All","PSH primary, All","PH primary, All","Shear primary, All","QE secondary, All","PSH secondary, All","PH secondary, All","Shear secondary, All","QE trispectrum, All","PSH trispectrum, All","PH trispectrum, All","Shear trispectrum, All"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,0.018345428530649605,0.0038961119462953345,0.011798831427808673,0.00497815492126097,0.002274138551441549,0.002166214526489302,0.0021424527740974073,0.005306750412445159,0.000519436951350348,0.00026469485214673663,0.00011563311195800784,5.312539063111674e-05
7,38.42812776856926,0.011769502008197845,0.002421566170538132,0.008069478128631092,0.003222104742803681,0.001944577814406966,0.0019445632226277603,0.0019671273315708293,0.004136292294365908,0.0005977362134453335,0.0002819924800615884,0.00012951538018217857,6.798917126142067e-05
8,63.198533245043265,0.008816720502717904,0.0023527650536164417,0.005779702321970553,0.0033340308365125103,0.001342043481093862,0.0013718842151866702,0.0014108213804448504,0.002691055500715018,0.0003627774928502591,0.00015412673807643377,8.695703878543045e-05,5.0699910461252936e-05
9,100.96538972782729,0.006084514533837415,0.001493828895792629,0.003921848979213335,0.0024328308593293715,0.0011345013176427628,0.0011826629605816202,0.0012586040141703279,0.002729610992638904,0.0005076737173200206,0.00022088190993145595,9.863455344346444e-05,8.635021394270922e-05
10,163.83631121352687,0.004844451069603077,0.0012108345436038065,0.0034077638271996866,0.0017987911164067485,0.0014233220791302248,0.001323989660018572,0.0013406459857020453,0.003953661763644532,0.0007045026619143301,0.0003174953878602809,0.00014914698680946946,0.00017351193305236188
11,265.3251638901486,0.005704987428115078,0.001052656439371341,0.0039607372818754065,0.001479814737207254,0.0018061476476523197,0.001836908944121385,0.0020451287162930104,0.00461990246119288,0.00125244179054543,0.0006041985733819859,0.00032302264245581463,0.00035659621938111195
12,431.2885931322549,0.003975387929396987,0.0010952520210334904,0.0028792604725198104,0.0011246219148872796,0.002638383033867814,0.002567117510929008,0.0028146327194554514,0.004633176432164061,0.0017736351606777673,0.0008476062104229779,0.0006293907716220984,0.0005075734148790631
13,699.3914735090503,0.004212351786405117,0.0007665474521270583,0.00245331974486294,0.0011573210109772024,0.004486474144258996,0.004400548042526944,0.0046842777433650454,0.008845656293860816,0.0026786378913127434,0.0015176662712686926,0.0013659737890037746,0.0016327809152387658
14,1132.2266555405515,0.0034737859774983133,0.0008910606619402565,0.0016837888834101526,0.0018245887482090384,0.0076333158928424336,0.007631686088915391,0.00813901601331751,0.0644940486965006,0.006018095156889202,0.004211712930544362,0.004235106717715281,0.00874857441122818
15,1832.7733607376451,0.00254599112502039,0.0009882371773056455,0.0008632571925053744,0.010317998395504182,0.019216508192107556,0.018547613316335088,0.01826582520550499,2.9667642134498786,0.008454897961327465,0.007101408315415876,0.007256908779516284,0.5724290485119219
16,2966.360523302821,0.0017308094953651294,0.0012597849765968877,0.0016015030800125207,0.135341736615473,0.07945982213366651,0.07891175233754152,0.07976402620270256,4054.334699681877,0.018747481133390802,0.01611511600305167,0.015497620223422003,213.60515276322457
17,4801.532681142485,0.016738749590108997,0.006283061259405594,0.007744763860218104,0.02170315645933579,1.2422748074499153,2.2189416684300296,2.844309970790647,2.6244232373215253,1.7224281958755536,0.7566779770339052,0.8952962546455531,3.1124421807286953
18,7773.367053494751,2.196713012623744,5229.830397630746,8500.487990677195,2.1992679310552745,99642.57408520373,3662305768520.809,11533372167588.83,99585.19867510002,55993.98361617898,1914918532380.9998,6749316090813.271,55954.85879983214
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
