l,w
67.6145557159695,1.32546142601192
155.261943791746,1.32567211684864
242.927905164424,1.33226970015719
330.721557953295,1.38277716920956
424.915001336843,1.50293440490472
506.801055898915,1.65304475781775
595.005642881722,1.84486222280931
683.21255152664,2.03747804935986
771.366061942969,2.2117315600539
859.456887482257,2.36442930865552
947.466454847602,2.4891844026929
1035.4110156738,2.59158537307887
1123.30682159562,2.67722075072629
1211.16548092365,2.75008234343006
1298.98699365787,2.81017015119017
1386.80154140576,2.86786287427335
1474.61144582942,2.92395887423856
1562.40277695618,2.97366798173195
1650.18946475871,3.02178036610739
1737.97383089913,3.06909438892384
1825.75355371533,3.11481168862234
1913.53095486941,3.15973062676186
2001.30835602349,3.20464956490138
2089.06486221856,3.24238324901009
2176.82136841363,3.2801169331188
2264.56626629814,3.31385880943262
2352.30419919631,3.3452056010695
2440.03748877025,3.37495566958843
2527.7522050473,3.39831884563553
2615.45763467589,3.41848857544671
2703.15842098025,3.43706158213994
2790.83831232561,3.44844933480236
2878.51123868462,3.45744200278784
2966.18416504364,3.46643467077333
3053.85709140265,3.47542733875881
3141.48822784364,3.47004949868268
3229.10079098773,3.45828476613472
3316.74817906351,3.45849545697145
3404.36074220759,3.44673072442349
3491.97098368957,3.43416763031655
3579.57193852309,3.4184110899737
3667.16360670816,3.39946110339494
3754.75063156901,3.37891439369822
3842.32372645719,3.35357751464762
3929.89449968325,3.32744227403805
4017.45598626086,3.29811358719257
4105.01747283847,3.26878490034708
4192.56270778129,3.23386768258875
4280.10329939988,3.19735374171246
4367.64621268059,3.16163816239514
4455.17519598862,3.12113241372396
4542.69721431032,3.07823158037584
4630.21458930779,3.03373402390976
4717.72267765681,2.98604302120777
4805.22844434371,2.9375536569468
4872.84685337388,2.90019347023046
