l,w
68.6871636120017,1.69430446626
156.383306592143,1.71128074983527
244.053911289046,1.71947505626178
331.383231655393,1.61031021351844
398.556655447311,1.41993072799788
445.802479439206,1.22684215299965
489.011552127146,1.01559458170442
524.31567487655,0.825990066997055
559.584044029419,0.624090784281417
594.865182323908,0.426582490140161
626.194271287183,0.240042090578645
661.456255869242,0.035947313575816
700.67284361084,-0.178237160291877
739.90475432238,-0.387152447870312
783.120637219184,-0.596058158592531
830.332410166761,-0.800856036455781
881.534235843229,-1.00355339052263
940.72057537161,-1.20053376046506
1007.9029311136,-1.38784177165455
1087.05174604489,-1.5701202041768
1174.24873167082,-1.72479165578192
1261.5292971328,-1.8507220912638
1348.87486913393,-1.95429840309429
1436.2622310531,-2.04350420686317
1523.69138289029,-2.11833950257043
1611.14607301071,-2.18439282112893
1698.61469310382,-2.24565597033355
1786.09956483171,-2.30133058862533
1873.59836653228,-2.35221503756324
1961.11574152975,-2.39671259402931
2048.64240317567,-2.43801670425948
2136.16674315948,-2.48011917604862
2223.71429976441,-2.51423803224797
2311.26882135568,-2.5459618037704
2398.82798627118,-2.57608885217486
2486.40340282146,-2.60062736966647
2573.98114103386,-2.62436752559911
2661.57513088105,-2.64251915061889
2749.18537236302,-2.65508224472583
2836.78400553443,-2.67163714662766
2924.41746363754,-2.67621662514481
3012.0253834574,-2.68957808081072
3099.67277153317,-2.689367389974
3187.32015960895,-2.68915669913728
3274.96754768473,-2.68894600830056
3362.6149357605,-2.68873531746384
3450.27857547107,-2.68293609571427
3537.96078847853,-2.67074998149287
3625.6244281891,-2.6649507597433
3713.30664119656,-2.6527646455219
3800.99814085248,-2.63738508506459
3888.68731884629,-2.62280388616626
3976.37649684009,-2.60822268726792
4064.07728314446,-2.58964968057469
4151.78039111094,-2.57027831232249
4239.48582073953,-2.55010858251131
4327.20053701657,-2.52674540646421
4414.91757495573,-2.50258386885813
4502.62996957066,-2.48001905437001
4590.36093748249,-2.45106734741006
4678.08261874587,-2.42530908668603
4765.8135866577,-2.39635737972608
4845.57480446181,-2.36804577435777
