l,w
61.0767552068206,-0.922724724071633
142.526853216633,-0.922528930566802
236.371531358374,-0.922303342398193
325.609954479931,-0.922967018533862
411.666307509927,-0.921881960724751
499.30208727514,-0.925663077682923
586.935545378241,-0.930242556200073
674.562038495004,-0.93721711939416
763.090110398836,-0.938601023485126
847.199027452517,-0.937423070170734
937.499559398108,-0.938181770001955
1025.14694747389,-0.937971079165234
1112.79433554966,-0.937760388328513
1200.44172362544,-0.937549697491793
1288.09607668755,-0.934943921978136
1375.76203806023,-0.928346338669588
1463.43032109502,-0.92095039380206
1551.08235249502,-0.919142979847383
1638.7297405708,-0.918932289010662
1726.39105861925,-0.91393142882007
1814.05701999193,-0.907333845511522
1901.72298136461,-0.900736262202972
1989.37036944038,-0.900525571366251
2077.02704416461,-0.897121434293616
2164.6953271994,-0.88972548942609
2252.36361023419,-0.882329544558561
2340.01099830997,-0.882118853721841
2427.65838638574,-0.88190816288512
2515.30577446152,-0.881697472048399
2602.97870082053,-0.872704804062916
2690.62608889631,-0.872494113226195
2778.27347697209,-0.872283422389474
2865.92086504786,-0.872072731552754
2953.57753977209,-0.868668594480118
3041.24117948266,-0.862869372730549
3128.87695924787,-0.866650489688721
3216.51041735097,-0.871229968205871
3304.15780542675,-0.87101927736915
3391.80519350252,-0.87080858653243
3479.42936495717,-0.878581511285494
3567.07443137084,-0.879169182007752
3654.72181944661,-0.878958491171032
3742.36920752239,-0.87874780033431
3829.99802230127,-0.884924001969419
3917.62915874225,-0.890301842045548
4005.26029518324,-0.895679682121677
4092.90768325902,-0.895468991284957
4180.54114136212,-0.900048469802107
4268.16299115466,-0.90861975611415
4355.79877091987,-0.912400873072323
4443.43919400931,-0.914585266912536
4531.05640047762,-0.924753276342538
4618.68985858072,-0.929332754859688
4706.32331668382,-0.933912233376838
4793.93820149002,-0.944878604365818
4861.66108531526,-0.946312520928127
