,l,w
0,0.0,-0.43124064256516403
1,1.0002000400080016,-0.43340356466802143
2,2.000400080016003,-0.43556648677087884
3,3.0006001200240044,-0.437729408873736
4,4.000800160032006,-0.4398923309765934
5,5.001000200040008,-0.44205525307945126
6,6.001200240048009,-0.44421817518230866
7,7.001400280056011,-0.4463810972851665
8,8.001600320064012,-0.4485440193880239
9,9.001800360072014,-0.4507069414908813
10,10.002000400080016,-0.4528698635937387
11,11.002200440088018,-0.4550327856965961
12,12.002400480096018,-0.4571957077994544
13,13.00260052010402,-0.4593586299023116
14,14.002800560112021,-0.461521552005169
15,15.003000600120023,-0.4636844741080264
16,16.003200640128025,-0.4658473962108842
17,17.003400680136025,-0.4680103183137416
18,18.00360072014403,-0.470173240416599
19,19.00380076015203,-0.47233616251945687
20,20.004000800160032,-0.47449908462231427
21,21.004200840168032,-0.47666200672517167
22,22.004400880176036,-0.4788249288280291
23,23.004600920184036,-0.4809878509308869
24,24.004800960192036,-0.4831507730337443
25,25.00500100020004,-0.48531369513660216
26,26.00520104020804,-0.48747661723945956
27,27.005401080216043,-0.48963953934231697
28,28.005601120224043,-0.49180246144517437
29,29.005801160232046,-0.4939653835480322
30,30.006001200240046,-0.49612830565089006
31,31.00620124024805,-0.49829122775374746
32,32.00640128025605,-0.5004541498566049
33,33.00660132026405,-0.5026170719594623
34,34.00680136027205,-0.5047799940623201
35,35.00700140028005,-0.5069429161651775
36,36.00720144028806,-0.5091058382680353
37,37.00740148029606,-0.5112687603708927
38,38.00760152030406,-0.5134316824737502
39,39.00780156031206,-0.5155946045766076
40,40.008001600320064,-0.517757526679465
41,41.00820164032806,-0.5199204487823224
42,42.008401680336064,-0.5220833708851806
43,43.00860172034407,-0.5242462929880378
44,44.00880176035207,-0.5264092150908952
45,45.00900180036007,-0.5285721371937531
46,46.00920184036807,-0.5307350592966105
47,47.009401880376075,-0.5328979813994683
48,48.00960192038407,-0.5350609035023253
49,49.009801960392075,-0.5372238256051831
50,50.01000200040008,-0.5393867477080405
51,51.01020204040808,-0.5415496698108979
52,52.01040208041608,-0.5437125919137553
53,53.01060212042408,-0.5458755140166129
54,54.010802160432085,-0.5480384361194708
55,55.01100220044009,-0.5502013582223282
56,56.011202240448085,-0.5523642803251856
57,57.01140228045609,-0.554527202428043
58,58.01160232046409,-0.5566901245309008
59,59.01180236047209,-0.5588530466337582
60,60.01200240048009,-0.5610159687366161
61,61.012202440488096,-0.5631788908394735
62,62.0124024804961,-0.5653418129423309
63,63.012602520504096,-0.5675047350451883
64,64.0128025605121,-0.5696676571480461
65,65.0130026005201,-0.5718305792509035
66,66.0132026405281,-0.5739935013537614
67,67.0134026805361,-0.5761564234566188
68,68.0136027205441,-0.5783193455594762
69,69.01380276055211,-0.5804822676623336
70,70.0140028005601,-0.582645189765191
71,71.01420284056812,-0.5848081118680488
72,72.01440288057611,-0.5869710339709067
73,73.01460292058411,-0.5891339560737641
74,74.01480296059212,-0.5912968781766215
75,75.01500300060012,-0.5934598002794789
76,76.01520304060811,-0.5956227223823367
77,77.01540308061612,-0.5977856444851946
78,78.01560312062412,-0.599948566588052
79,79.01580316063212,-0.6021114886909094
80,80.01600320064013,-0.6042744107937668
81,81.01620324064812,-0.6064373328966242
82,82.01640328065612,-0.6086002549994816
83,83.01660332066413,-0.6107631771023392
84,84.01680336067213,-0.612926099205197
85,85.01700340068014,-0.6150890213080544
86,86.01720344068814,-0.6172519434109118
87,87.01740348069613,-0.6194148655137697
88,88.01760352070414,-0.6215777876166271
89,89.01780356071214,-0.6237407097194849
90,90.01800360072014,-0.6259036318223423
91,91.01820364072815,-0.6280665539251997
92,92.01840368073614,-0.6302294760280571
93,93.01860372074414,-0.6323923981309143
94,94.01880376075215,-0.6345553202337721
95,95.01900380076015,-0.63671824233663
96,96.01920384076814,-0.6388811644394874
97,97.01940388077615,-0.6410440865423448
98,98.01960392078415,-0.6432070086452022
99,99.01980396079216,-0.6453699307480596
100,100.02000400080016,-0.6475328528509174
101,101.02020404080815,-0.6496957749537748
102,102.02040408081616,-0.6518586970566327
103,103.02060412082416,-0.6540216191594901
104,104.02080416083216,-0.6561845412623475
105,105.02100420084017,-0.6583474633652049
106,106.02120424084816,-0.6605103854680632
107,107.02140428085616,-0.6626733075709201
108,108.02160432086417,-0.664836229673778
109,109.02180436087217,-0.6669991517766354
110,110.02200440088018,-0.6691620738794928
111,111.02220444088817,-0.6713249959823506
112,112.02240448089617,-0.6734879180852076
113,113.02260452090418,-0.6756508401880659
114,114.02280456091218,-0.6778137622909233
115,115.02300460092017,-0.6799766843937807
116,116.02320464092818,-0.6821396064966381
117,117.02340468093618,-0.6843025285994959
118,118.02360472094418,-0.6864654507023533
119,119.02380476095219,-0.6886283728052112
120,120.02400480096018,-0.6907912949080686
121,121.02420484096818,-0.692954217010926
122,122.02440488097619,-0.6951171391137834
123,123.02460492098419,-0.6972800612166405
124,124.0248049609922,-0.6994429833194984
125,125.0250050010002,-0.7016059054223562
126,126.02520504100819,-0.7037688275252136
127,127.0254050810162,-0.705931749628071
128,128.0256051210242,-0.7080946717309284
129,129.0258051610322,-0.7102575938337858
130,130.0260052010402,-0.7124205159366437
131,131.02620524104822,-0.7160431919921468
132,132.0264052810562,-0.7204926186876282
133,133.0266053210642,-0.7249420453831088
134,134.0268053610722,-0.7293914720785897
135,135.0270054010802,-0.7338408987740705
136,136.0272054410882,-0.7382903254695514
137,137.02740548109622,-0.7427397521650323
138,138.02760552110422,-0.7471891788605132
139,139.02780556111222,-0.751638605555994
