l,w
58.2652223884331,-1.88954057199464
130.387655917094,-1.74805819264358
178.792917968034,-1.54244500508793
219.225127991801,-1.33860736667446
259.652230358921,-1.13652612369074
308.053844083684,-0.932167504299203
376.364738588847,-0.731399248302505
460.518721683758,-0.562504336909836
548.525967386992,-0.438547604431442
636.463563226846,-0.338541718722404
724.343117513885,-0.25849487198783
812.176238558672,-0.194415256432826
899.965248023318,-0.145504510498415
987.719432556275,-0.108569187948683
1075.43879215754,-0.083609288783626
1163.14654344825,-0.062641197413464
1250.83804310416,-0.047261636956152
1338.50168281473,-0.041462415206581
1426.20014745698,-0.023687770072333
1513.84753553276,-0.023477079235613
1601.49492360854,-0.023266388398891
1689.18874492657,-0.007088466382601
1776.84077632657,-0.005281052427922
1864.48816440234,-0.005070361591201
1952.13555247812,-0.004859670754481
2039.7829405539,-0.00464897991776
2127.43032862967,-0.00443828908104
2215.07771670545,-0.004227598244319
2302.72510478123,-0.004016907407598
2390.372492857,-0.003806216570878
2478.01988093278,-0.003595525734157
2565.66726900856,-0.003384834897436
2653.31465708433,-0.003174144060716
2740.96204516011,-0.002963453223996
2828.60943323589,-0.002752762387274
2916.25682131166,-0.002542071550554
3003.90420938744,-0.002331380713833
3091.55159746322,-0.002120689877112
3179.19898553899,-0.001909999040392
3266.84637361477,-0.001699308203671
3354.49376169055,-0.001488617366951
3442.14114976632,-0.00127792653023
3529.7885378421,-0.001067235693509
3617.43592591788,-0.000856544856789
3705.08331399365,-0.000645854020068
3792.73070206943,-0.000435163183347
3880.3780901452,-0.000224472346627
3968.02547822098,-1.37815099066074E-05
4055.67286629676,0.000196909326815
4143.32025437253,0.000407600163535
4230.96764244831,0.000618291000256
4318.61503052409,0.000828981836976
4406.26241859986,0.001039672673697
4493.90980667564,0.001250363510418
4581.55719475142,0.001461054347138
4669.20458282719,0.001671745183859
4756.85197090297,0.00188243602058
4844.49935897875,0.0020931268573
