,Nmodes,"PH primary, All","PH primary, CIB","PH primary, Radio PS","PH primary, kSZ","PH primary, tSZ","PH secondary, All","PH secondary, CIB","PH secondary, Radio PS","PH secondary, kSZ","PH secondary, tSZ","PH trispectrum, All","PH trispectrum, CIB","PH trispectrum, Radio PS","PH trispectrum, kSZ","PH trispectrum, tSZ","PPH primary, All","PPH primary, CIB","PPH primary, Radio PS","PPH primary, kSZ","PPH primary, tSZ","PPH secondary, All","PPH secondary, CIB","PPH secondary, Radio PS","PPH secondary, kSZ","PPH secondary, tSZ","PPH trispectrum, All","PPH trispectrum, CIB","PPH trispectrum, Radio PS","PPH trispectrum, kSZ","PPH trispectrum, tSZ","PSH primary, All","PSH primary, CIB","PSH primary, Radio PS","PSH primary, kSZ","PSH primary, tSZ","PSH secondary, All","PSH secondary, CIB","PSH secondary, Radio PS","PSH secondary, kSZ","PSH secondary, tSZ","PSH trispectrum, All","PSH trispectrum, CIB","PSH trispectrum, Radio PS","PSH trispectrum, kSZ","PSH trispectrum, tSZ","QE primary, All","QE primary, CIB","QE primary, Radio PS","QE primary, kSZ","QE primary, tSZ","QE secondary, All","QE secondary, CIB","QE secondary, Radio PS","QE secondary, kSZ","QE secondary, tSZ","QE trispectrum, All","QE trispectrum, CIB","QE trispectrum, Radio PS","QE trispectrum, kSZ","QE trispectrum, tSZ","Shear primary, All","Shear primary, CIB","Shear primary, Radio PS","Shear primary, kSZ","Shear primary, tSZ","Shear secondary, All","Shear secondary, CIB","Shear secondary, Radio PS","Shear secondary, kSZ","Shear secondary, tSZ","Shear trispectrum, All","Shear trispectrum, CIB","Shear trispectrum, Radio PS","Shear trispectrum, kSZ","Shear trispectrum, tSZ",lCen
14,1167290.615428908,7.771174568257313e-12,2.3496372581191654e-11,1.5061991457640855e-12,-1.6595520388979927e-12,-7.186942842843144e-12,-1.504696987168687e-10,-7.348941083625874e-11,-5.904817355025468e-12,-7.148760856674985e-12,-1.0243857576388837e-10,1.0503473728822758e-10,2.9796120532676287e-11,7.774907765678353e-13,1.3056381499216741e-12,5.7872326138156625e-11,-8.059402156148348e-13,-2.7186905928196695e-12,-2.1874217107358614e-13,-2.1092961931094023e-12,-2.649402684413809e-12,-1.504696987168687e-10,-6.910228661057552e-11,-5.27661963146186e-12,-1.0220579544673887e-11,-1.231902096243086e-10,6.799113164579144e-11,1.7704003475323062e-11,8.440133216374766e-14,1.314598433950647e-12,4.342439423538436e-11,-5.203334574026895e-11,-3.7312913279065046e-12,1.5285545656618246e-13,-4.82970033722525e-12,-5.423015143605717e-11,-1.2071829856866523e-10,-5.769397672701654e-11,-4.767639611588767e-12,-4.728353279504366e-12,-8.297813676345076e-11,1.0215088009496135e-10,1.958904094409392e-11,9.487391278195683e-14,1.2200363530029773e-12,6.822967357578677e-11,-1.7671775041921818e-10,-6.520489705183943e-11,-3.0053038072162206e-12,-1.1386866332135344e-11,-1.5041361468608356e-10,-7.972704769906874e-11,-3.138045849328438e-11,-3.41194280010868e-12,-1.89347688115269e-12,-5.73206489093424e-11,2.0256951078566736e-10,3.5979416786555014e-11,3.64790140203513e-12,1.4223479964652565e-12,1.7733265757445248e-10,-2.843364367765522e-11,4.637776074339731e-12,5.446066806380965e-13,-3.284019770788608e-12,-3.4145086558452036e-11,-9.026896804711916e-11,-3.5174217596824226e-11,-2.2637923707919393e-12,-4.730179363149496e-12,-5.845164525152545e-11,8.819682700024384e-11,1.4481265020329574e-11,1.5820502088472392e-13,1.0411883924588228e-12,6.353471002454937e-11,1132.2266555405515
15,3058953.4584670775,1.2941913315642094e-11,1.1597459509003571e-11,5.963357794900873e-13,9.976677025360746e-14,3.5074079670968878e-12,-7.972556382679825e-11,-3.970504961199201e-11,-3.444306538164382e-12,-3.995614158199838e-12,-5.611696540542982e-11,4.9067427631419777e-11,8.475770676406131e-12,3.3834886705405757e-13,4.4204792622666693e-13,3.866015204535961e-11,5.3558575926059145e-12,-3.5760800266064505e-13,7.22382053218035e-14,-3.0961429193182655e-13,3.704779476758015e-12,-7.972556382679825e-11,-3.451087784406828e-11,-2.5775167016138227e-12,-6.375210490415946e-12,-6.812010791171875e-11,3.6422018862640854e-11,6.953296743377893e-12,2.46019670180747e-14,4.599572063059725e-13,2.7238393312602634e-11,-1.4200045714683896e-11,-7.035257486260874e-13,3.260618425176765e-15,-1.4242838398632127e-12,-1.8414370889211707e-11,-5.874035752570816e-11,-3.035739885897703e-11,-2.7861114628294135e-12,-2.6766755677169224e-12,-4.06079164546062e-11,4.315986919619369e-11,4.367597746711859e-12,1.9284191307272803e-14,3.9431261666708345e-13,3.770216076735026e-11,-2.4855053959935862e-11,-5.8106636925181925e-12,-1.8221324291055096e-13,-1.9690411315463967e-12,-2.6527699365831432e-11,-5.469842238564817e-11,-2.9111326422942946e-11,-2.7135110451518395e-12,-2.539348222818954e-12,-3.754485780613244e-11,5.165873231553423e-11,5.575227663170069e-12,2.81235441450287e-13,4.034379680743175e-13,4.7337635895372994e-11,-3.495007228254429e-11,-6.3443605493686844e-12,-2.3075797439210183e-13,-2.6199162402480162e-12,-3.801788584877244e-11,-7.139178199026026e-12,-2.3739412319623778e-11,2.759695493259772e-13,4.3180724435075525e-13,3.100757260586714e-12,1.0087197578112462e-10,4.329060152814083e-12,6.591855023172411e-14,3.9139222815913865e-13,1.0019140589751424e-10,1832.7733607376451
16,8016166.786048821,-9.457033113241092e-12,-1.3671833088359478e-11,-7.539159017424548e-13,5.074188641459155e-13,-2.4752454878525023e-12,-1.3759603019084746e-10,-6.326041136644925e-11,-5.565237467181407e-12,-1.4561270461958887e-11,-1.105063285492937e-10,1.62047900562288e-10,4.013052479316399e-11,1.6993486541757506e-12,1.1227033103850165e-12,1.1301066544920852e-10,3.174643163418469e-14,1.695246903729992e-12,-2.4104760599120274e-15,8.796422529503594e-13,-2.5974891355702878e-12,-1.3759603019084746e-10,-8.487130949042759e-11,-6.0461650684141066e-12,-1.5673485727691107e-11,-1.9315367307735165e-11,1.4765972302373394e-10,4.732462031976164e-11,1.7972035507686682e-13,1.662079845371096e-12,7.517814198951448e-11,2.1505308291492853e-11,1.3873158299447326e-12,3.267731002989783e-15,2.2823596468546043e-12,2.3217548517997235e-11,-1.9116882680208657e-10,-8.239733064892167e-11,-5.709682899743218e-12,-1.5725447464414547e-11,-1.513521776937918e-10,1.5088362582038232e-10,1.7222625697647456e-11,5.872130122490007e-14,8.283742228025739e-13,1.2537188993609037e-10,9.259315819173694e-11,3.8576730858315836e-11,1.884278713447594e-12,6.197073653903656e-12,8.033487108596621e-11,-3.954702662734854e-10,-1.8059035755567803e-10,-1.098322238046075e-11,-2.4296893674092186e-11,-2.884203439929196e-10,3.6490174653817266e-10,6.334472915202863e-11,7.56859719255425e-12,1.4015090720211782e-12,3.301868726017944e-10,9.363622228434939e-12,1.972242099741097e-12,6.075545407310291e-13,-4.138991646956137e-12,5.684320204257438e-12,-0.00041493686991853697,8.890487818848585e-05,1.9841025624867437e-05,-1.6285997437085485e-05,0.00012840599315698414,1.0304411483152948e-06,4.72070051931303e-08,1.2665512936422879e-09,1.9627552994128834e-09,1.1400171170095904e-06,2966.360523302821
17,21006834.793084465,2.6661997910493136e-11,-7.536425071433165e-11,1.009511946807175e-12,3.9318880325089224e-11,3.7766971701671204e-11,-2.3056725274379586e-06,-1.9811729171373973e-06,-1.5702358611903306e-07,-2.5232141159679984e-07,-1.0200005767091272e-06,2.736978031650349e-06,1.6305270766523167e-06,1.2771816650770018e-08,5.494360003140557e-08,3.5173276394331895e-07,-2.237733445883669e-10,3.005740757111528e-10,-1.5596797096030726e-12,4.8841502230090166e-11,-2.4886782505235702e-12,-2.3056725274379586e-06,-1.317678339968186e-05,-2.9904250792291254e-07,-1.4429980328730469e-06,-7.2149361275378435e-06,3.702017307999291e-05,2.7645862900151822e-05,9.189545641055298e-08,5.253549984298824e-07,3.0272741283470696e-06,1.6771897645466057e-10,1.9047037854376486e-11,4.4703073469291605e-12,4.1376663115615386e-11,1.4245810998627824e-10,-1.5478372512239798e-06,-1.2829671796697427e-06,-1.0804354805248024e-07,-1.7234179931842354e-07,-6.923472074516439e-07,1.808804354368668e-06,1.0947241808371804e-06,8.432799849948353e-09,3.7715307067779516e-08,2.413587933058594e-07,6.420797744141067e-10,3.7226303573752296e-10,1.688250226942906e-11,4.6929915450212186e-11,5.066464088530036e-10,-3.315261583997688e-08,-2.2688122659706274e-08,-1.7894358827453515e-09,-4.032272117352585e-09,-1.866729403708947e-08,9.806317473269809e-08,4.7803637093173336e-08,3.1804913677005634e-09,7.400656265241035e-10,4.74512727099506e-08,6.069932451662969e-10,3.517631816239321e-10,1.5988455168579397e-11,4.505856686127843e-11,4.794369903628656e-10,-3.43120739056376e-08,-2.3824997216542394e-08,-1.7768249688368127e-09,-4.116425100498969e-09,-1.9209003245126393e-08,9.717144915926065e-08,4.762647267514094e-08,3.09721468700491e-09,7.573069489386055e-10,4.623674413580162e-08,4801.532681142485
18,55049641.53090616,1.1552476243780013e-07,5.621151041109461e-08,6.519470807086556e-09,-3.049367388004407e-09,1.486217962388516e-08,26.464435936918157,4.671447999166736,1.6402766204244585,0.7914128520390289,-7.0155614721853725,9.089341550511806,-5.847288469622564,-0.0039200443658351895,-0.25896881469956956,-0.2459892688297852,-0.0004796421794975096,0.0007190472953015959,8.721410533455553e-05,-2.309958829039447e-05,0.00015170529660273253,26.464435936918157,-160936560101.07315,-609248219.6682224,7886876300.457705,416620416.5197501,907191948.7904584,84693653.17459351,1687182.364722965,12741875.892208844,-21860557.76685179,6.161988998058151e-08,2.818952595868286e-08,2.361281987936748e-09,-9.745275425742247e-10,7.1161571074708234e-09,1.573299488003476,-2.8836457705354164,0.16833651755568185,-0.36923783236141217,-3.057375979953919,1.693467623290667,-1.7407676062409647,-0.003432854780843256,-0.05008761194086693,-0.06417729416956375,5.661205503315363e-11,4.283835454266963e-11,-9.777525071997586e-13,3.047635458626855e-12,4.075374480724194e-11,-5.642259854872373e-07,-4.6671546449297074e-07,-1.3310527649045113e-08,-6.266618565457128e-08,-1.2752639676731267e-07,8.621324478979119e-08,1.930390662282239e-08,9.195997830072048e-10,7.907918324218555e-10,8.418494784890474e-09,5.6777322927705115e-11,4.294890245430614e-11,-9.768870789429343e-13,3.05491696644882e-12,4.0789164016983205e-11,-5.624665443573599e-07,-4.6467441277625695e-07,-1.3257965936650405e-08,-6.265992734989054e-08,-1.2722313373450878e-07,8.784008890171387e-08,1.9975005752891823e-08,9.222362938540623e-10,8.078585949339078e-10,8.441283661964433e-09,7773.367053494751
19,144260811.4230951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11220.26600506391
