,lCen,"QE primary, All","PSH primary, All","PH primary, All","Shear primary, All","QE secondary, All","PSH secondary, All","PH secondary, All","Shear secondary, All","QE trispectrum, All","PSH trispectrum, All","PH trispectrum, All","Shear trispectrum, All"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,-0.008859582460513054,-0.002500825031824417,0.0002483072414250251,-0.0004340011471630684,0.00016986506554168834,0.00019233195369760072,0.00014609810121713482,0.0005350241211591222,0.00017279517943737455,-1.8959683942457474e-05,2.0982676548943855e-05,-1.3092221633975993e-05
7,38.42812776856926,-0.002960100392977549,-0.00012184084633978674,0.0009270816969236532,2.5251215457859086e-05,0.00012754146329831378,5.728659738247011e-05,-2.7339611562933308e-05,-0.0006275249094373795,0.00014665219973919485,-1.5808429217170556e-05,2.9202969362783866e-05,-4.058716790313167e-06
8,63.198533245043265,-0.004090143132522388,-0.0008628735321093153,0.0006402603041747901,6.204735031747793e-05,-6.921792540221509e-05,-8.054736341310388e-05,-0.00010927522074252894,-0.00034283722793755823,0.00020854493546282598,-2.161726337786986e-05,2.7281361890647175e-05,-1.606410281718505e-05
9,100.96538972782729,-0.00513302442834168,-0.0007863660427722661,0.0010298334759994237,-1.2250248232951772e-05,-9.00205756532476e-05,-0.00013959214907417685,-0.00019635728550887027,-0.00029501367549708237,0.0002834913676372686,-2.976087404585272e-05,4.279410352744676e-05,-1.745856562965709e-05
10,163.83631121352687,-0.006722276371151838,-0.0009559145367639422,0.0013232525771200226,-0.0005944241220070837,-0.0003726822849864464,-0.0003233706212285789,-0.00036323382549709963,-0.0011926020673667774,0.0005769177737777643,-4.486054404082528e-05,9.165321545263301e-05,-2.854490254634912e-05
11,265.3251638901486,-0.007711482521280933,-0.001543445304847404,0.0010331866691145307,-0.0005849815853325852,-0.00036803152243876537,-0.0003740469897546748,-0.0004867621679542513,-0.0017916818085809655,0.0013306995510666657,-8.382232233715721e-05,0.00021232074790650382,-6.703025998145359e-05
12,431.2885931322549,-0.00787390854952024,-0.0014121488849679598,0.0012418310429774804,-0.00040607690983864426,-0.0009579065505722193,-0.0010981619993651493,-0.0013418934873698552,-0.0022445268239723445,0.0026888646362542724,-0.00012735675692477578,0.0003991229720871127,-0.00010528912494235136
13,699.3914735090503,-0.00874566990504962,-0.0019415247235358658,0.0008984995293639894,-0.0010404568367569748,-0.002254417240195601,-0.002238154107223634,-0.002635581398697185,-0.003626601083127183,0.004807791880829962,-0.00021764966726671033,0.0004985749526690796,-0.00024124327672338735
14,1132.2266555405515,-0.009375610201072292,-0.0027872224158393922,9.999604052518008e-05,-0.003117018453332564,-0.0048298905226067355,-0.006078869764501082,-0.007199292032258355,-0.010203924465819863,0.006728675875965545,-0.0006702370014242355,-0.00024178285396665394,-0.0005781059539035658
15,1832.7733607376451,-0.007110616742226798,-0.0027973459301169033,-0.00044129389497615877,-0.01530932311622868,-0.009620076909577176,-0.011521926695238847,-0.013127657941532119,-0.1396867243020954,0.005637789516309458,-0.0005572817006722303,-0.0015173723472756894,0.05723370671202515
16,2966.360523302821,0.01254034321882822,0.00497647365000199,-0.00021946663489010192,-0.016429252667455565,-0.06070102398976396,-0.047099086900128956,-0.03809805289697972,39.26509689883758,0.04772875241300121,0.007126621460548484,0.00014108701201551236,471.4237794041057
17,4801.532681142485,0.18510044750819168,0.020508003878304416,-0.025226567028925367,0.20405991174797997,-6.361811267938507,-9.05503845397501,-8.814511619784442,-7.857776820725074,22.963665851205107,-1.7947541017184943,-0.8489566270576527,25.329234883591152
18,7773.367053494751,0.704231570299812,47.50901292675171,54.616044702048285,0.7045030043631504,1056.2297301871286,-23082106685.977394,-36555192470.395065,1057.6127925606936,978.034047655378,-1984973077.4292817,-3108168765.2554617,971.8660675399482
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
