,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,2.173240573868478e-08,8.466289995935187e-09,6.3842604381223115e-09,7.123227095878995e-09,1.867301621545368e-09,2.083797809031118e-09,2.2328892613661307e-09,4.276522108016741e-09,6.5589408268847814e-09,1.5962403796747428e-09,9.618826480662265e-10,1.3683162616883064e-09
7,38.42812776856926,9.975017157915352e-09,5.252877171352614e-09,4.678085271021271e-09,6.518474918754498e-09,1.820975235847888e-09,1.7688632741413378e-09,1.914474760837812e-09,3.4486150966602423e-09,5.810596126677809e-09,1.1497443533619033e-09,6.75734540453464e-10,1.23265522190528e-09
8,63.198533245043265,5.7784268174336785e-09,2.3843579180809042e-09,2.0456404624831168e-09,2.853863737647316e-09,9.46186563232801e-10,1.0077055404738827e-09,1.068489615759503e-09,2.0195414719316735e-09,4.008178324452014e-09,7.705096353711371e-10,4.920517051677653e-10,1.1701221570312329e-09
9,100.96538972782729,2.464565892384966e-09,1.1486758777404524e-09,1.089019164914127e-09,1.657166007764768e-09,7.011598052849118e-10,7.503307045982521e-10,8.501337852598281e-10,1.6419834648441676e-09,4.078366559672745e-09,9.86511903836696e-10,6.806966726915429e-10,1.4780333002227235e-09
10,163.83631121352687,1.5189049775715949e-09,6.774412110389403e-10,5.622606328240609e-10,7.359941022617047e-10,5.1782283320696e-10,5.300708437738344e-10,5.45165316075017e-10,9.982534848886336e-10,4.1538668900832634e-09,9.830439738882105e-10,6.896059703668174e-10,1.4214005733397452e-09
11,265.3251638901486,6.695324912576957e-10,4.51296539240429e-10,4.418890617113671e-10,5.675059531339302e-10,3.726825233045362e-10,3.681997925066878e-10,4.0255531574373274e-10,8.639710178831525e-10,3.4532721478014787e-09,1.045973488780124e-09,9.031033284506021e-10,1.7131824573069765e-09
12,431.2885931322549,3.694791903639376e-10,2.1171550089791208e-10,1.9860124241646827e-10,1.9045283722686956e-10,2.4378321373603614e-10,2.8258248864234934e-10,3.2125991983295955e-10,4.1988247049529207e-10,3.2571153047621393e-09,1.0642492199967946e-09,9.337879155713651e-10,1.213814400158916e-09
13,699.3914735090503,2.112191608392544e-10,1.2330842928543054e-10,1.0478231007705556e-10,8.856045642961523e-11,1.7875814968161442e-10,2.263196028839453e-10,2.60486844393315e-10,2.59070729131705e-10,2.846851669796798e-09,1.0876283556272518e-09,9.38086759886594e-10,8.879842356900527e-10
14,1132.2266555405515,6.688698127240324e-11,3.946237212876653e-11,3.506556391874298e-11,2.941567285645928e-11,1.0710540472709548e-10,1.2452692645987021e-10,1.419634982135741e-10,1.3680532601155597e-10,1.106263414630326e-09,6.344385417686105e-10,6.193746054444651e-10,5.215589237420764e-10
15,1832.7733607376451,1.2788164967581242e-11,1.0878929977614368e-11,1.0473012454877627e-11,1.2582699744335195e-11,5.156465181986808e-11,5.0485277038151003e-11,5.402592084925932e-11,1.1174276879747781e-10,3.0923763817712894e-10,3.0566213725708907e-10,3.621113163063054e-10,5.802253294346812e-10
16,2966.360523302821,6.3741264832331076e-12,3.503057590653681e-12,2.771855017417299e-12,3.621921586216518e-10,7.598298756351125e-11,7.22733934625492e-11,7.811728660296268e-11,4.11611269149877e-05,3.145279051206598e-10,2.8449593193757475e-10,3.8767547725071647e-10,1.5182649275387968e-05
17,4801.532681142485,3.251899567507367e-11,2.5805995216673558e-11,2.698704045135164e-11,3.089314613735476e-11,2.1721830521090525e-09,5.4686517375236405e-09,7.882141598781993e-09,2.4919141319676405e-09,5.578591553573217e-08,2.8363749060582815e-08,2.8619864418304475e-08,5.9428050886018476e-08
18,7773.367053494751,1.4728931224102834e-10,2.0566042914097987e-07,2.503089071194506e-07,1.4720079424047156e-10,5.606527029362516e-06,96.35263480993088,142.24124583607184,5.608031439244394e-06,2.3136049040196607e-06,26.56784261055578,39.05930302584132,2.3141048919784332e-06
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
