,lCen,"QE primary, CIB","PSH primary, CIB","PH primary, CIB","Shear primary, CIB","QE primary, tSZ","PSH primary, tSZ","PH primary, tSZ","Shear primary, tSZ","QE primary, kSZ","PSH primary, kSZ","PH primary, kSZ","Shear primary, kSZ","QE primary, Radio PS","PSH primary, Radio PS","PH primary, Radio PS","Shear primary, Radio PS","QE primary, tSZ+CIB","PSH primary, tSZ+CIB","PH primary, tSZ+CIB","Shear primary, tSZ+CIB","QE primary, All","PSH primary, All","PH primary, All","Shear primary, All","QE secondary, CIB","PSH secondary, CIB","PH secondary, CIB","Shear secondary, CIB","QE secondary, tSZ","PSH secondary, tSZ","PH secondary, tSZ","Shear secondary, tSZ","QE secondary, kSZ","PSH secondary, kSZ","PH secondary, kSZ","Shear secondary, kSZ","QE secondary, Radio PS","PSH secondary, Radio PS","PH secondary, Radio PS","Shear secondary, Radio PS","QE secondary, tSZ+CIB","PSH secondary, tSZ+CIB","PH secondary, tSZ+CIB","Shear secondary, tSZ+CIB","QE secondary, All","PSH secondary, All","PH secondary, All","Shear secondary, All","QE trispectrum, CIB","PSH trispectrum, CIB","PH trispectrum, CIB","Shear trispectrum, CIB","QE trispectrum, tSZ","PSH trispectrum, tSZ","PH trispectrum, tSZ","Shear trispectrum, tSZ","QE trispectrum, kSZ","PSH trispectrum, kSZ","PH trispectrum, kSZ","Shear trispectrum, kSZ","QE trispectrum, Radio PS","PSH trispectrum, Radio PS","PH trispectrum, Radio PS","Shear trispectrum, Radio PS","QE trispectrum, tSZ+CIB","PSH trispectrum, tSZ+CIB","PH trispectrum, tSZ+CIB","Shear trispectrum, tSZ+CIB","QE trispectrum, All","PSH trispectrum, All","PH trispectrum, All","Shear trispectrum, All"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,7.371005125951292e-10,3.2373464813768403e-10,4.1237376187898966e-10,4.6192084152323207e-10,8.794179036913161e-09,4.226619268077489e-09,3.0153058363442472e-09,2.9153961166353144e-09,1.4336226621500175e-09,8.13704978013005e-10,9.776388086441139e-10,1.2976688218920214e-09,5.621386170531483e-11,3.350473754437911e-11,4.1900563884482006e-11,3.036062457673979e-11,8.577489049542815e-09,4.0894307213936975e-09,2.9276323982203785e-09,2.9002492774905117e-09,1.0575600681228527e-08,4.567766853020531e-09,3.3220936786684298e-09,3.6306759621265547e-09,1.4154540577235102e-10,1.3661818625703122e-10,1.4604461445058393e-10,3.1354392215314945e-10,8.8067633824577e-10,9.131541072302583e-10,9.688567748723386e-10,1.708698047320876e-09,2.673439127644511e-10,2.5967575700732223e-10,2.547557602187673e-10,5.666215860877922e-10,4.976375176858284e-12,4.5721448709121695e-12,5.086658509949301e-12,1.0635914277397109e-11,8.293716052500661e-10,8.36405858626965e-10,8.735502395403535e-10,1.5026857732681289e-09,9.077581483706911e-10,1.1215282606422762e-09,1.1515851095906383e-09,1.899278692486956e-09,5.530704926185531e-12,2.2118148988954837e-12,3.3182566677367376e-12,5.2229352586650364e-12,1.5608172281089676e-09,4.0134615214779874e-10,2.0807569552588607e-10,3.3060520697962575e-10,3.348581582494716e-11,1.1377022180111793e-11,1.2040303763991468e-11,2.7489957410672997e-11,1.050701144090483e-12,2.678801537285039e-13,1.146372370890203e-13,4.8054409746111854e-14,1.5607488800526362e-09,4.3068539611054363e-10,2.318206358956217e-10,3.4591740616841516e-10,1.6673897568398563e-09,4.829488033120811e-10,2.774530537512584e-10,3.437702693450965e-10
7,38.42812776856926,4.2666077530459746e-10,2.392725302804446e-10,2.693553283825795e-10,3.5187745073534893e-10,4.580995488072301e-09,2.4485077743179374e-09,2.0044015196835405e-09,2.601767325411405e-09,8.038805679684757e-10,4.94512869359656e-10,5.258481401394043e-10,8.311832926213945e-10,4.5151499846022876e-11,2.8381417597122404e-11,3.796875715206152e-11,2.473631312088063e-11,4.581398917842206e-09,2.3989628238803153e-09,1.9458387659790863e-09,2.6422328105806454e-09,4.917818028175162e-09,2.587985802848234e-09,2.2149167280418796e-09,3.1629908369072855e-09,1.1240701490566523e-10,1.1119872447397594e-10,1.2050135356656965e-10,2.197262205851735e-10,6.834454560169949e-10,6.304152368750381e-10,6.596033225780197e-10,1.3631491678801673e-09,1.9751475584126198e-10,2.0333970665161803e-10,2.1995097483407538e-10,4.4650608130007445e-10,5.133271497700542e-12,5.082891785152894e-12,5.639740021568647e-12,1.0701038568946773e-11,7.001596337755016e-10,6.983136978382141e-10,7.372268813302614e-10,1.3852166836553206e-09,8.754096409549748e-10,9.404474207499977e-10,1.0094374115214633e-09,1.7656279045003861e-09,4.479613685535292e-12,1.630954294883629e-12,2.1497124619523405e-12,3.2365942164902563e-12,1.461949126874548e-09,3.585069409242083e-10,1.9121508493190976e-10,3.051415628505327e-10,2.6452353984662755e-11,1.4816438000744067e-11,1.6539928009778728e-11,4.373070846227113e-11,7.423040501727369e-13,1.8403779194644123e-13,9.163015313472157e-14,5.0736941892355936e-14,1.3950514694796192e-09,3.4096123296394533e-10,1.7595349141182697e-10,2.702042428977577e-10,1.4189121806569278e-09,3.2102849759373135e-10,1.698608129203344e-10,2.898311220080261e-10
8,63.198533245043265,2.1461062790663263e-10,1.4241560871337018e-10,1.6531444690096607e-10,1.9813820886297665e-10,2.7303754382259414e-09,1.0754372769990132e-09,8.918622181781469e-10,1.4477429442153354e-09,5.064336581428711e-10,2.35757553986578e-10,2.055592912991077e-10,3.117562667723566e-10,3.535886355475735e-11,1.7789611930491415e-11,2.4496520292240264e-11,1.3536681785406173e-11,2.660401260482374e-09,1.0539514698878806e-09,8.291615819153992e-10,1.309049836374078e-09,2.8143357549100286e-09,1.2661122492725993e-09,1.0296105293031363e-09,1.4204765527143812e-09,6.670613923160626e-11,7.801120782579934e-11,8.44152839740681e-11,1.524247739079817e-10,3.506308893240091e-10,3.5435350357777003e-10,3.6134302726121995e-10,7.311994667376629e-10,1.39543124387807e-10,1.4391408878401603e-10,1.561821412395373e-10,3.166504875256543e-10,2.665522577612801e-12,3.186454116895233e-12,3.686514376437289e-12,6.697443658805025e-12,3.197033742897659e-10,3.547817106325387e-10,3.801347451848039e-10,6.960155097823713e-10,5.01537332600798e-10,5.194309384383963e-10,5.609139768657551e-10,1.045586063958819e-09,2.2656077608159774e-12,1.2321783550856393e-12,1.598611071088517e-12,2.194557446026367e-12,1.1306648914934675e-09,2.875505534837095e-10,1.6162882807113997e-10,2.8075897123242656e-10,1.930679565347587e-11,8.434509571357622e-12,7.543316368993512e-12,2.0719547646334866e-11,8.323174795845224e-13,1.643680966647586e-13,6.420590716764331e-14,5.641661196788949e-14,1.1206241049912203e-09,2.929244597568245e-10,1.6170693277028547e-10,2.7513571426012735e-10,9.859809158762477e-10,2.398245899371556e-10,1.3638876465983375e-10,2.843881982249962e-10
9,100.96538972782729,7.600088027124242e-11,7.906747416886712e-11,8.89128252526239e-11,1.057098086527e-10,1.078411856352803e-09,5.36481744449118e-10,4.967645398422135e-10,6.563722492605774e-10,1.8109330094600018e-10,1.1414713082361077e-10,1.1409348526195263e-10,1.6304452850810186e-10,1.575276348900802e-11,8.41083658295451e-12,1.1568066946897144e-11,7.330309412107399e-12,1.050478466446813e-09,5.305964948844769e-10,5.072793439420955e-10,6.817324951390549e-10,1.1677184641934078e-09,5.438687942484551e-10,5.056383356130029e-10,7.727867139810414e-10,4.381112428987736e-11,4.565448432165748e-11,4.872794362259092e-11,1.0420716775816952e-10,2.968336301106204e-10,2.933631155303154e-10,3.1074770948887473e-10,6.118119627301725e-10,8.420063871460271e-11,7.92572191384695e-11,8.779857089446303e-11,1.9325901083895607e-10,2.0000614103006458e-12,1.6459819440210997e-12,1.930247789398295e-12,4.328490691956628e-12,2.6714799136971627e-10,2.688853215227719e-10,2.838401785845538e-10,5.615031760855911e-10,3.554191736746583e-10,3.678692169851023e-10,3.84758736965134e-10,7.910857357460792e-10,9.553718739560065e-13,7.693161258093115e-13,9.196988715475153e-13,1.3838973728261963e-12,1.194322235941065e-09,3.247182884618467e-10,2.025319691513837e-10,4.44230511182325e-10,1.0268940275775274e-11,5.309741950799653e-12,4.76848906037531e-12,1.2850603000837314e-11,8.154876602541503e-13,1.8876020341062168e-13,8.559156546857851e-14,8.470287647206055e-14,1.1908087715150088e-09,3.2995716038320525e-10,1.9996279599323176e-10,4.231705920568628e-10,1.0568811956609405e-09,2.9406541982208014e-10,1.8267532841685589e-10,3.7840641224557985e-10
