,lCen,"QE primary, CIB","PSH primary, CIB","PH primary, CIB","Shear primary, CIB","QE primary, tSZ","PSH primary, tSZ","PH primary, tSZ","Shear primary, tSZ","QE primary, kSZ","PSH primary, kSZ","PH primary, kSZ","Shear primary, kSZ","QE primary, Radio PS","PSH primary, Radio PS","PH primary, Radio PS","Shear primary, Radio PS","QE primary, tSZ+CIB","PSH primary, tSZ+CIB","PH primary, tSZ+CIB","Shear primary, tSZ+CIB","QE primary, All","PSH primary, All","PH primary, All","Shear primary, All","QE secondary, CIB","PSH secondary, CIB","PH secondary, CIB","Shear secondary, CIB","QE secondary, tSZ","PSH secondary, tSZ","PH secondary, tSZ","Shear secondary, tSZ","QE secondary, kSZ","PSH secondary, kSZ","PH secondary, kSZ","Shear secondary, kSZ","QE secondary, Radio PS","PSH secondary, Radio PS","PH secondary, Radio PS","Shear secondary, Radio PS","QE secondary, tSZ+CIB","PSH secondary, tSZ+CIB","PH secondary, tSZ+CIB","Shear secondary, tSZ+CIB","QE secondary, All","PSH secondary, All","PH secondary, All","Shear secondary, All","QE trispectrum, CIB","PSH trispectrum, CIB","PH trispectrum, CIB","Shear trispectrum, CIB","QE trispectrum, tSZ","PSH trispectrum, tSZ","PH trispectrum, tSZ","Shear trispectrum, tSZ","QE trispectrum, kSZ","PSH trispectrum, kSZ","PH trispectrum, kSZ","Shear trispectrum, kSZ","QE trispectrum, Radio PS","PSH trispectrum, Radio PS","PH trispectrum, Radio PS","Shear trispectrum, Radio PS","QE trispectrum, tSZ+CIB","PSH trispectrum, tSZ+CIB","PH trispectrum, tSZ+CIB","Shear trispectrum, tSZ+CIB","QE trispectrum, All","PSH trispectrum, All","PH trispectrum, All","Shear trispectrum, All"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,1.6002388042100895e-09,7.007751308022508e-10,8.76837329616334e-10,1.0149947664051371e-09,1.644921473521053e-08,7.478018178802648e-09,5.552285080699333e-09,5.611267100147553e-09,2.7658052533221783e-09,1.4131931843773472e-09,1.7517820449689336e-09,2.345044464083793e-09,7.174029021660295e-10,3.334987193017715e-10,3.9536060120055045e-10,3.751456384322933e-10,1.6153032819188337e-08,7.2902648435381795e-09,5.409177161350125e-09,5.561812905870206e-09,2.0343568379533998e-08,7.88904222122264e-09,5.987916816214486e-09,6.861591523214434e-09,3.061938885771829e-10,3.2822412621403556e-10,3.695995240703762e-10,8.729950697818847e-10,1.7959570981171183e-09,1.8442851586225263e-09,1.889415492515801e-09,3.0766379832756314e-09,6.109673402870243e-10,6.165334968667235e-10,6.415989795883745e-10,1.2887382004093885e-09,1.1339006852523026e-10,1.2406653772343813e-10,1.3505778952830442e-10,2.53954161633044e-10,1.7463297640607854e-09,1.948506428780552e-09,2.0645973973933757e-09,3.527763845882777e-09,2.606450826803658e-09,2.425778015554423e-09,2.514238155124684e-09,4.983987114956222e-09,2.7466445321156805e-11,1.0493865320818177e-11,1.4153013806938077e-11,2.213794663137075e-11,5.22118537904614e-09,1.1661405222779792e-09,6.403647914267812e-10,1.0801124370427092e-09,1.3173019664584218e-10,4.4560221129956366e-11,4.3806066421896155e-11,1.0022602903123587e-10,1.569147378661811e-11,1.8818656078226368e-12,2.688385117891124e-12,2.2676569029590798e-12,5.119925134144512e-09,1.2687316106167165e-09,7.524729544891425e-10,1.1788404815421913e-09,5.702996530272211e-09,1.5311309035343942e-09,9.43819624456426e-10,1.3042870968469351e-09
7,38.42812776856926,9.239922537301433e-10,5.313725618162242e-10,5.845493853719387e-10,7.870394533149535e-10,8.678598552226967e-09,4.462705905032658e-09,3.750064725921313e-09,4.753025536519326e-09,1.5865433006700477e-09,9.48337546257374e-10,1.0113902237329355e-09,1.572764929651895e-09,5.869264654382001e-10,2.412542274163651e-10,3.329564799848696e-10,3.1540862290329415e-10,8.686891252171132e-09,4.308269393797474e-09,3.590123343205761e-09,4.882871697349291e-09,9.307595678239121e-09,4.832335722709084e-09,4.285376893195267e-09,6.085598058014935e-09,2.2969944806655346e-10,2.550661094005601e-10,2.7345487352225386e-10,4.97567135866468e-10,1.346762495153244e-09,1.3786237629273233e-09,1.4493251974024154e-09,3.114028143426083e-09,4.608733433433017e-10,4.3936113951611204e-10,4.318105690942639e-10,7.604036214046163e-10,7.067736427073134e-11,7.043935875795319e-11,7.59336097957329e-11,1.753385332143897e-10,1.312155187160926e-09,1.437659571082247e-09,1.5290847222400254e-09,3.291083384429706e-09,1.7855074794946341e-09,2.1246448072681102e-09,2.2709307735521783e-09,4.632214986967296e-09,2.47534150759111e-11,8.988305100167102e-12,1.0922096637581166e-11,1.499990432215825e-11,4.907081024290078e-09,1.0785191111924293e-09,6.28165482821801e-10,1.0216487196267508e-09,9.970264197134935e-11,5.3200200513614854e-11,5.972880757730302e-11,1.6050181528034548e-10,9.394909458952067e-12,1.8474906338962344e-12,3.2114946870852024e-12,2.4033969310814612e-12,4.697238737205911e-09,9.90757704244525e-10,5.486832400448836e-10,8.87801973518095e-10,5.043649837085297e-09,1.0039406569483733e-09,5.915225884690461e-10,1.0747304690270213e-09
8,63.198533245043265,4.628711756247458e-10,3.125646199800782e-10,3.5444195657321314e-10,4.4000110578238334e-10,5.2039116396693585e-09,1.968819685344478e-09,1.7336634950050883e-09,2.7498285272787297e-09,1.0115893402746498e-09,4.750459458681282e-10,4.154551120097798e-10,6.199850909884857e-10,4.5683761984079714e-10,1.4131968374721715e-10,1.9968587535709693e-10,1.682716728856012e-10,5.0576907859581736e-09,1.9198118495925196e-09,1.6178008534069872e-09,2.505503077204264e-09,5.370133962370936e-09,2.3682064120970265e-09,2.0583082239061293e-09,2.7778326032193883e-09,1.4539773667678242e-10,1.6806109570602673e-10,1.7659111980092284e-10,3.1878740664238485e-10,7.345756094437073e-10,8.455429408314595e-10,9.009032942574632e-10,1.4864308096924233e-09,2.3538592902077513e-10,2.668524866356314e-10,2.765675421776984e-10,5.317597567331118e-10,5.139458045149308e-11,4.150258798566257e-11,4.437152880758824e-11,9.17669147891233e-11,6.692331814012545e-10,8.640972506114446e-10,9.448328298797922e-10,1.720324399153605e-09,8.585376622390761e-10,1.0768951091057855e-09,1.1642491544286147e-09,2.0757270406195573e-09,1.058834771634059e-11,4.605325449371424e-12,6.1145513318697624e-12,1.0226779056578475e-11,3.727258413555387e-09,8.028949952949603e-10,4.700467656971005e-10,8.544127453270414e-10,7.218407187515454e-11,3.139868688710804e-11,2.8480865731789042e-11,7.469169394256736e-11,7.313961317458644e-12,1.0731119922442116e-12,1.9433956414553223e-12,1.4940493235328335e-12,3.678988235462857e-09,8.35926525118324e-10,4.836096634838909e-10,8.378889425371416e-10,3.3757134413961698e-09,7.077829513978938e-10,4.562120543642903e-10,9.752096262297463e-10
9,100.96538972782729,1.651799604740328e-10,1.744782282168182e-10,1.9442716716109016e-10,2.3715437554977484e-10,2.0227973937912312e-09,9.889792145498673e-10,9.737011788293965e-10,1.3160466306062631e-09,3.445478863061858e-10,2.1078661958864196e-10,2.1417308736546546e-10,3.1395045802261546e-10,2.033500713296667e-10,7.013188121715496e-11,9.709643077203808e-11,9.026428358671598e-11,1.9629566744192148e-09,9.986300984111175e-10,1.0156300018809669e-09,1.3811313048685778e-09,2.2791062970658366e-09,1.0898452034943859e-09,1.0405564921165342e-09,1.5588536277113007e-09,1.0159136992310736e-10,9.782467620607791e-11,1.0255541223941346e-10,2.2821615352948788e-10,4.203768966132654e-10,4.550175036263344e-10,4.793186479022168e-10,9.47560604961585e-10,1.68913479017377e-10,1.7358498038995498e-10,1.8724305794427787e-10,3.9770211261806874e-10,3.238366629390486e-11,3.244814827470956e-11,3.470298372407295e-11,7.290424212348219e-11,4.708755756075773e-10,4.548135729826908e-10,4.927008687600499e-10,1.0203079033568055e-09,7.140600823915074e-10,6.883635322312805e-10,7.356675411506304e-10,1.5039748734683544e-09,5.058579913367953e-12,3.523710146676123e-12,4.198847576343954e-12,7.63437298819002e-12,3.859306967627152e-09,9.43542984488894e-10,6.355864179597298e-10,1.4231000638132636e-09,3.882368568940259e-11,1.9655150458516406e-11,1.790488905834596e-11,4.5766989494642756e-11,5.336458580641442e-12,9.94769025608607e-13,1.2948104396335994e-12,1.0684454158551622e-12,3.8046373020101525e-09,9.388937291687334e-10,6.048951060774351e-10,1.3102181022495053e-09,3.4253607675482153e-09,8.623353483407626e-10,5.873428632631543e-10,1.2630831245807453e-09
